job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,finish_num,shortened_completion_timejob_id_order,tasks_num_of_single_job_order,task_generation_time_order,total_time_order,complation_time_ordered,finish_num
345,83,346120,9100,347071,84,14,345,83,346120,9100,347057,84
346,82,346727,8150,347479,83,-102,346,82,346727,8150,347581,83
347,88,347974,7550,348674,89,-101,347,88,347974,7550,348775,89
348,86,348936,9250,350041,87,401,348,86,348936,9250,349640,87
349,86,348999,8350,349937,87,-105,349,86,348999,8350,350042,87
350,81,349607,6300,350288,82,50,350,81,349607,6300,350238,82
351,90,349713,9000,350793,91,198,351,90,349713,9000,350595,91
352,82,350274,7250,351009,83,84,352,82,350274,7250,350925,83
353,84,350322,9150,351328,85,-97,353,84,350322,9150,351425,85
354,85,351140,8300,351891,86,100,354,85,351140,8300,351791,86
355,86,352676,7000,353327,87,47,355,86,352676,7000,353280,87
356,89,358289,7600,359040,90,96,356,89,358289,7600,358944,90
357,85,358814,6950,359464,86,-126,357,85,358814,6950,359590,86
358,86,359218,10150,360368,87,-352,358,86,359218,10150,360720,87
359,87,359279,7050,360268,88,-75,359,87,359279,7050,360343,88
360,84,359464,6000,360622,85,-98,360,84,359464,6000,360720,85
361,89,360515,8500,361168,90,-50,361,89,360515,8500,361218,90
362,80,362322,7150,363323,81,199,362,80,362322,7150,363124,81
363,83,363183,7300,363884,84,-104,363,83,363183,7300,363988,84
364,81,363223,5850,363887,82,-95,364,81,363223,5850,363982,82
365,90,364598,10350,365249,91,-349,365,90,364598,10350,365598,91
366,86,364957,7900,365701,87,43,366,86,364957,7900,365658,87
367,81,365677,7650,366380,82,102,367,81,365677,7650,366278,82
368,86,367933,8800,368683,87,-4,368,86,367933,8800,368687,87
369,82,368846,9500,369548,83,-398,369,82,368846,9500,369946,83
370,88,371015,7100,371719,89,104,370,88,371015,7100,371615,89
371,90,372198,9000,372999,91,51,371,90,372198,9000,372948,91
372,80,372390,7600,373105,81,-143,372,80,372390,7600,373248,81
373,85,373482,8300,374186,86,-47,373,85,373482,8300,374233,86
374,88,374097,6650,374748,89,-4,374,88,374097,6650,374752,89
375,90,374869,5850,375570,91,1,375,90,374869,5850,375569,91
376,88,375608,9350,376316,89,-193,376,88,375608,9350,376509,89
377,81,376191,8550,376912,82,-80,377,81,376191,8550,376992,82
378,85,376295,6050,377045,86,2,378,85,376295,6050,377043,86
379,90,376736,9000,377549,91,59,379,90,376736,9000,377490,91
380,86,377154,7900,378108,87,20,380,86,377154,7900,378088,87
381,90,377188,8100,378087,91,-121,381,90,377188,8100,378208,91
382,88,377532,6200,378499,89,54,382,88,377532,6200,378445,89
383,83,378215,8200,378916,84,51,383,83,378215,8200,378865,84
384,86,379657,9250,380409,87,-99,384,86,379657,9250,380508,87
385,86,379782,7000,380808,87,99,385,86,379782,7000,380709,87
386,85,380106,9200,381061,86,-152,386,85,380106,9200,381213,86
387,90,381448,7200,382149,91,50,387,90,381448,7200,382099,91
388,84,381892,10500,382744,85,43,388,84,381892,10500,382701,85
389,84,382234,8250,383107,85,11,389,84,382234,8250,383096,85
390,89,383245,7600,383899,90,4,390,89,383245,7600,383895,90
391,80,383546,7150,384247,81,2,391,80,383546,7150,384245,81
392,88,383917,9350,384645,89,-2,392,88,383917,9350,384647,89
393,89,384104,8500,385021,90,-1,393,89,384104,8500,385022,90
394,86,384530,9250,385631,87,269,394,86,384530,9250,385362,87
395,86,385011,8800,385820,87,-77,395,86,385011,8800,385897,87
396,88,386186,8000,386887,89,-51,396,88,386186,8000,386938,89
397,82,386382,5000,387189,83,249,397,82,386382,5000,386940,83
398,80,386785,7150,387488,81,50,398,80,386785,7150,387438,81
399,90,386973,8550,387936,91,100,399,90,386973,8550,387836,91
400,88,388575,8900,389229,89,-46,400,88,388575,8900,389275,89
401,82,389673,7250,390374,83,-2,401,82,389673,7250,390376,83
402,80,390749,8500,391403,81,0,402,80,390749,8500,391403,81
403,82,393252,9050,393903,83,-4,403,82,393252,9050,393907,83
404,87,395253,8850,395905,88,1,404,87,395253,8850,395904,88
405,84,395453,7800,396307,85,46,405,84,395453,7800,396261,85
406,87,395771,7500,396704,88,194,406,87,395771,7500,396510,88
407,85,396375,8750,397255,86,179,407,85,396375,8750,397076,86
408,81,397316,7650,397967,82,-49,408,81,397316,7650,398016,82
409,85,398600,7400,399300,86,49,409,85,398600,7400,399251,86
410,83,400198,6850,400799,84,-50,410,83,400198,6850,400849,84
411,86,401414,7450,402165,87,50,411,86,401414,7450,402115,87
412,88,402976,6650,403677,89,-1,412,88,402976,6650,403678,89
